iter	Passed	Remaining
0	159	159618
1	172	86130
2	187	62259
3	200	49869
4	214	42593
5	233	38653
6	262	37173
7	282	35009
8	300	33067
9	326	32345
10	355	31924
11	385	31747
12	419	31848
13	439	30926
14	461	30303
15	482	29702
16	499	28911
17	517	28250
18	532	27507
19	547	26823
20	562	26229
21	577	25694
22	592	25185
23	606	24678
24	621	24254
25	636	23836
26	651	23471
27	667	23161
28	682	22848
29	696	22528
30	710	22220
31	725	21944
32	741	21717
33	754	21449
34	768	21185
35	783	20972
36	799	20799
37	815	20634
38	830	20456
39	845	20285
40	859	20110
41	874	19949
42	890	19828
43	906	19687
44	922	19578
45	937	19453
46	952	19320
47	968	19205
48	983	19080
49	997	18946
50	1012	18839
51	1026	18707
52	1041	18603
53	1056	18500
54	1070	18392
55	1087	18330
56	1101	18229
57	1117	18152
58	1132	18066
59	1149	18005
60	1164	17921
61	1180	17854
62	1194	17765
63	1209	17687
64	1223	17601
65	1238	17533
66	1254	17468
67	1269	17398
68	1284	17330
69	1300	17272
70	1315	17215
71	1329	17134
72	1345	17082
73	1359	17012
74	1373	16939
75	1387	16873
76	1402	16816
77	1417	16760
78	1432	16703
79	1448	16655
80	1462	16590
81	1478	16550
82	1493	16499
83	1508	16446
84	1523	16394
85	1539	16364
86	1555	16320
87	1569	16267
88	1585	16231
89	1599	16174
90	1614	16123
91	1627	16067
92	1643	16024
93	1659	15989
94	1674	15953
95	1688	15900
96	1702	15851
97	1716	15802
98	1732	15767
99	1747	15729
100	1763	15694
101	1778	15658
102	1792	15609
103	1807	15569
104	1822	15532
105	1839	15510
106	1854	15479
107	1872	15465
108	1889	15443
109	1906	15422
110	1922	15400
111	1938	15368
112	1957	15363
113	1972	15333
114	1990	15315
115	2005	15287
116	2024	15280
117	2041	15263
118	2058	15240
119	2074	15210
120	2089	15180
121	2105	15155
122	2120	15118
123	2135	15083
124	2150	15052
125	2165	15024
126	2181	14993
127	2195	14955
128	2210	14926
129	2225	14894
130	2240	14863
131	2255	14830
132	2271	14809
133	2285	14772
134	2300	14740
135	2314	14701
136	2329	14675
137	2344	14646
138	2359	14615
139	2373	14579
140	2387	14547
141	2403	14522
142	2417	14488
143	2432	14460
144	2448	14438
145	2465	14419
146	2479	14385
147	2493	14355
148	2509	14331
149	2523	14302
150	2538	14271
151	2552	14242
152	2570	14230
153	2586	14209
154	2601	14182
155	2618	14165
156	2635	14149
157	2650	14122
158	2665	14100
159	2681	14077
160	2697	14056
161	2713	14037
162	2729	14014
163	2746	13998
164	2762	13981
165	2780	13967
166	2799	13962
167	2815	13944
168	2832	13929
169	2851	13921
170	2868	13904
171	2884	13887
172	2901	13870
173	2918	13853
174	2934	13831
175	2949	13810
176	2966	13792
177	2981	13768
178	2997	13747
179	3014	13731
180	3031	13716
181	3048	13702
182	3064	13683
183	3081	13665
184	3098	13651
185	3115	13635
186	3131	13614
187	3146	13590
188	3164	13577
189	3183	13570
190	3201	13558
191	3217	13541
192	3233	13521
193	3248	13497
194	3264	13476
195	3280	13457
196	3296	13438
197	3314	13424
198	3330	13406
199	3348	13392
200	3363	13370
201	3385	13373
202	3402	13357
203	3417	13336
204	3433	13313
205	3448	13291
206	3463	13267
207	3479	13248
208	3496	13234
209	3514	13221
210	3530	13200
211	3547	13185
212	3563	13164
213	3579	13148
214	3595	13128
215	3610	13106
216	3627	13088
217	3642	13065
218	3657	13043
219	3674	13027
220	3690	13007
221	3706	12988
222	3725	12979
223	3741	12961
224	3757	12942
225	3772	12918
226	3788	12900
227	3804	12883
228	3820	12862
229	3838	12849
230	3853	12827
231	3869	12810
232	3884	12787
233	3899	12765
234	3915	12745
235	3932	12729
236	3948	12711
237	3963	12690
238	3977	12665
239	3991	12640
240	4007	12621
241	4023	12602
242	4037	12577
243	4052	12556
244	4069	12539
245	4084	12518
246	4100	12500
247	4114	12476
248	4131	12461
249	4147	12442
250	4163	12424
251	4178	12403
252	4197	12393
253	4213	12375
254	4229	12355
255	4244	12335
256	4259	12313
257	4276	12298
258	4291	12278
259	4306	12257
260	4321	12234
261	4336	12215
262	4352	12196
263	4369	12181
264	4383	12159
265	4399	12140
266	4416	12123
267	4431	12104
268	4448	12088
