iter	Passed	Remaining
0	690	689343
1	1093	545489
2	1641	545459
3	2018	502642
4	2398	477347
5	2732	452756
6	3241	459829
7	3665	454466
8	4091	450485
9	4499	445454
10	4793	430947
11	5088	418921
12	5444	413351
13	5814	409488
14	6205	407480
15	6607	406388
16	7011	405401
17	7343	400631
18	7734	399357
19	8139	398824
20	8399	391585
21	8685	386104
22	9042	384119
23	9454	384472
24	9925	387096
25	10291	385535
26	10642	383522
27	10970	380816
28	11360	380394
29	11653	376781
30	12036	376238
31	12365	374068
32	12695	372022
33	13016	369822
34	13339	367786
35	13786	369166
36	14072	366266
37	14413	364880338	14783	364286339	15170	364082440	15608	365081441	16148	368350442	16704	371772443	17145	372533444	17684	375312445	18023	373797446	18425	373604447	18928	375406448	19354	375635449	19713	374547550	20133	37463551	20473	373242
552	20954	374404553	21386	37465354	21839	375243
55	22290	375758
56	22799	377186
57	23233	377348
58	23631	376899
59	24035	376551
60	24440	376218
61	24911	376880
62	25283	376041
63	25705	375935
64	26019	374286
65	26442	374194
66	26789	373049
67	27230	373214
68	27658	373183
69	28006	372087
70	28388	371450
71	28779	370935
72	29168	370394
73	29535	369591
74	29895	368710
75	30716	373449
76	31108	372893
77	31039	366899
78	31919	372130
779	32202	370325880	32582	369672881	33082	370364882	33420	369232883	33747	368007884	34153	367653885	34477	366421886	34737	364540887	34891	361604888	35217	360485889	35505	358995990	35870	358308991	36200	357287992	36540	35636593	36774	354448
94	37133	353746
95	37503	353159
96	37838	352250
97	38296	352480
98	38569	351022
99	38936	350432
100	39483	351445
101	39861	350937
102	40217	350245
103	40491	348853
104	40775	347558
105	41319	348487
106	41728	348256
107	42124	347915
108	42513	347522
109	42969	347665
110	43397	347572
111	43814	347388
112	44216	347078
113	44533	346112
114	44873	345334
115	45226	344653
116	45635	344414
117	45986	343733
118	46344	343105
119	46766	342955
120	47112	342244
121	47437	341393
122	47805	340859
123	48204	340539
124	48497	339481
125	48986	339794
126	49397	339560
127	49845	339572
128	50169	338743
129	50533	338187
130	50854	337350
131	51264	337103
132	51771	337489
133	52183	337243
134	52555	336747
135	52949	336385
136	53304	335778
137	53790	335994
138	54144	335383
139	54526	334950
140	54897	334444
141	55281	334026
142	55555	332947
143	55917	332395
144	56313	332054
145	56561	330847
146	56923	330309
147	57290	329806
148	57709	329605
149	58040	328893
150	58346	328052
151	58754	327787
152	59080	327068
153	59360	326099
154	59734	325646
155	60187	325631
156	60503	324868
157	60827	324154
158	61198	323698
159	61611	323462
160	62015	323171
161	62418	322879
162	62724	322088
163	63042	321364
164	63608	321895
165	64000	321544
166	64291	320686
167	64649	320170
168	64925	319250
169	65213	318394
170	65586	317961
171	65954	317503
172	66330	317085
173	66640	316353
174	66946	315603
175	67316	315161
176	67583	314246
177	67871	313426
178	68225	312924
179	68624	312624
